Category,Company,Key Contact,Phone,Email,Contact Strategy,Lead Score,Subject Line,Message
Media & Digital Partners,SCA (Radio),Head of Mktg,(03) 9252 1011,marketing@sca.com.au,Hit Network. Target the 25-35 social demographic.,,,
Media & Digital Partners,Broadsheet,Nick Shelburne,(03) 8804 1860,nick.shelburne@broadsheet.com.au,"Dining / Social. Pitch the ""Most Anticipated"" social event title.",,,
Media & Digital Partners,Urban List,Partnerships,(07) 3252 5066,partnerships@theurbanlist.com,"Lifestyle Guides. Focus on ""What's On"" in Brisbane Oct 31.",,,
Media & Digital Partners,Canva,Partnerships,(02) 8503 8333,press@canva.com,"Digital Partner of Year. Pitch the ""F3 Data Visualisation.""",,,
Media & Digital Partners,Vogue AU,Editor-in-Chief,(02) 9288 3000,marketing@vogue.com.au,"Vogue Fashion Night. Focus on ""Fashion on the Field.""",,,
Media & Digital Partners,GQ AU,Brand Manager,(02) 9288 3000,marketing@gq.com.au,"Men of the Year. Focus on the ""Elite Gentlemen’s Club"" angle.",,,
Media & Digital Partners,Daily Mail AU,Marketing Lead,(02) 8234 4000,marketing@dailymail.com.au,"Celebrity Gossip. Sell rights to the ""A-List Marquee.""",,,
Media & Digital Partners,TikTok AU,Partnerships,(02) 8355 4200,partnerships.au@tiktok.com,"Global Sport. Pitch the ""Live POV"" rider content.",,,
Media & Digital Partners,Meta AU,Brand Manager,(02) 9003 8888,marketing.au@meta.com,"Social Connectivity. Use for event-day ""Live Reels"" partner.",,,
Media & Digital Partners,Google AU,Marketing Mgr,(02) 9374 4000,marketing-au@google.com,"Innovation. Target for the ""Tech Behind the F3"" story.",,,
Media & Digital Partners,Spotify AU,Sales Director,(02) 8317 2800,sales-au@spotify.com,"Festival Playlists. Pitch the ""Official F3 Polo Soundtrack.""",,,
Construction & Property,Lendlease,,(02) 9236 6111,media@lendlease.com,Olympics 2032. Pitch the Brisbane event as an early engagement piece.,,,
Construction & Property,Multiplex,,(02) 9256 5000,marketing@multiplex.global,"Engineering Excellence. Pitch the ""F3"" technical speed metrics.",,,
Construction & Property,Built,,(02) 8332 4111,info@built.com.au,"Heritage restoration. Align with the ""History of Polo"" vs. modern speed.",,,
Construction & Property,Hutchinson,,(07) 3335 5000,brisbane@hutchinsonbuilders.com.au,"Local Rugby. Target for the Brisbane ""Social"" crowd.",,,
Construction & Property,Mirvac,,(02) 9080 8000,media@mirvac.com,Residential events. Pitch as a VIP day for their premium buyers.,,,
Construction & Property,Stockland,,(02) 9035 2000,marketing@stockland.com.au,Community festivals. Focus on the family-friendly Sunday aspect.,,,
Construction & Property,Frasers Property,,(02) 9767 2000,marketing@frasersproperty.com.au,"Urban development. Link to the ""Urban Polo"" city-fringe location.",,,
Construction & Property,Dexus,,(02) 9017 1100,marketing@dexus.com,Commercial property. Sell B2B hospitality for their major tenants.,,,
Construction & Property,Charter Hall,,(02) 8651 9000,marketing@charterhall.com.au,Industrial Property. Use as a stakeholder engagement day.,,,
Construction & Property,Probuild,,(03) 9693 8222,marketing@probuild.com.au,"Safety Excellence. Focus on the ""Precision & Safety"" of F3 riders.",,,
Construction & Property,Nightingale,,(03) 9416 4333,hello@nightingalehousing.org,Ethical Housing. Pitch the sustainable/local focus of the event.,,,
Construction & Property,Roberts Co,,(02) 8042 1650,info@robertsco.com.au,Modern building. Target for the Sydney Nov 14 event.,,,
Construction & Property,Crown Group,,(02) 9925 0088,marketing@crowngroup.com.au,Luxury apartments. Pitch for vehicle/display lounge on-site.,,,
Construction & Property,Meriton,,(02) 9287 2888,marketing@meriton.com.au,"Sydney development. Pitch the ""Society"" value of being seen at F3.",,,
Construction & Property,TOGA Group,,(02) 9356 1000,marketing@toga.com.au,"Lifestyle brands. Focus on the ""Premium Social"" calendar.",,,
Construction & Property,Cbus Property,,(03) 9911 3777,marketing@cbusproperty.com.au,"Pensioner wealth. Target the ""Old Guard"" of wealth.",,,
Construction & Property,Grocon,,(03) 9631 2222,marketing@grocon.com.au,Major Infra. Focus on high-level networking.,,,
Construction & Property,ADCO Const.,,(02) 8437 5000,marketing@adcoconstruct.com.au,"Community Sport. Use to reach the ""Construction Professional.""",,,
Construction & Property,Richard Crookes,,(02) 9902 4700,marketing@richardcrookes.com.au,"Regional QLD/NSW. Link the two-city tour as a ""State Corridor.""",,,
Construction & Property,John Holland,,(03) 8670 5000,marketing@jhg.com.au,"Rail/Infrastructure. Focus on the ""Future City"" theme.",,,
